numeric,TVhours,Sq Rt TV,Group,Gender,Athlete
1,1,1,FNA,F,NotA
2,3,1.73205081,MNA,M,NotA
3,1,1,FA,F,A
4,2,1.41421356,MNA,M,NotA
5,0,0,FNA,F,NotA
6,2,1.41421356,FNA,F,NotA
7,4.5,2.12132034,FNA,F,NotA
8,0,0,FNA,F,NotA
9,3,1.73205081,FNA,F,NotA
10,2,1.41421356,MNA,M,NotA
11,6,2.44948974,FNA,F,NotA
12,10,3.16227766,MNA,M,NotA
13,3,1.73205081,MNA,M,NotA
14,4,2,MNA,M,NotA
15,1,1,MNA,M,NotA
16,7,2.64575131,MA,M,A
17,3,1.73205081,MA,M,A
18,0,0,MNA,M,NotA
19,0,0,MNA,M,NotA
20,3,1.73205081,MNA,M,NotA
21,4,2,FNA,F,NotA
22,4,2,MNA,M,NotA
23,0,0,MNA,M,NotA
24,2,1.41421356,MNA,M,NotA
25,0,0,FNA,F,NotA
26,0,0,FNA,F,NotA
27,0,0,FNA,F,NotA
28,0.5,0.70710678,FNA,F,NotA
29,0,0,MNA,M,NotA
30,0,0,MNA,M,NotA
31,4,2,MNA,M,NotA
32,4,2,MA,M,A
33,20,4.47213595,MNA,M,NotA
34,0,0,FNA,F,NotA
35,1,1,FNA,F,NotA
36,0,0,FNA,F,NotA
37,0.5,0.70710678,FNA,F,NotA
38,0,0,MA,M,A
39,1.5,1.22474487,MNA,M,NotA
40,0.5,0.70710678,FNA,F,NotA
41,1,1,MNA,M,NotA
42,3,1.73205081,FNA,F,NotA
43,0,0,FNA,F,NotA
44,1,1,FNA,F,NotA
45,8,2.82842712,FNA,F,NotA
46,5,2.23606798,MNA,M,NotA
47,1,1,FNA,F,NotA
48,2,1.41421356,MNA,M,NotA
49,0,0,MNA,M,NotA
50,4,2,FNA,F,NotA
51,1,1,FNA,F,NotA
52,3,1.73205081,MNA,M,NotA
53,3,1.73205081,MA,M,A
54,10,3.16227766,MNA,M,NotA
55,0,0,MNA,M,NotA
56,3,1.73205081,FNA,F,NotA
57,5,2.23606798,MNA,M,NotA
58,0,0,MNA,M,NotA
59,0,0,MNA,M,NotA
60,2,1.41421356,MNA,M,NotA
61,3,1.73205081,FA,F,A
62,0,0,FNA,F,NotA
63,2,1.41421356,FNA,F,NotA
